结算时间,订单号,子订单号,结算金额,结算账户,结算单类型,有结算前退款,下单时间,商品ID,商品数量,业务类型,订单类型,订单总价,商品总价,运费,店铺劵,结算前退款金额,平台补贴,达人补贴,抖音支付补贴,抖音月付营销补贴,银行补贴,以旧换新抵扣,平台补贴运费,用户实付,收入合计,平台服务费,达人佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,其他分成说明,支出合计,是否免佣,免佣金额,备注,dyOrder
2024/7/1 8:55,'6931041179839895208,'6931041179839895208,410.62,聚合账户,已结算,否,2024/6/18 19:47,'3688051480515969377,1,小店自卖,普通订单,459,459,0,40,0,40,0,0,0,0,0,0,379,419,-8.38,0,0,0,0,0,0,,-8.38,,0,,''6931041179839895208
2024/7/1 8:54,'6931100505456186850,'6931100505456186850,410.62,聚合账户,已结算,否,2024/6/20 17:08,'3688051480515969377,1,小店自卖,普通订单,459,459,0,40,0,3,0,0,0,0,0,0,416,419,-8.38,0,0,0,0,0,0,,-8.38,,0,,''6931100505456186850
2024/7/1 8:53,'6931094303780181618,'6931094303780181618,263.62,聚合账户,已结算,否,2024/6/20 16:22,'3653768848580183172,1,小店自卖,普通订单,269,269,0,130,0,0,0,0,0,0,0,0,269,269,-5.38,0,0,0,0,0,0,,-5.38,,0,,''6931094303780181618
2024/7/1 8:43,'6931114466968934332,'6931114466968934332,146.02,聚合账户,已结算,否,2024/6/20 17:58,'3645602464511698399,1,小店自卖,普通订单,249,249,0,100,0,0,0,0,0,0,0,0,149,149,-2.98,0,0,0,0,0,0,,-2.98,,0,,''6931114466968934332
2024/7/1 9:55,'6931096504464512602,'6931096504464512602,234.22,聚合账户,已结算,否,2024/6/20 16:34,'3645602464511698399,1,小店自卖,普通订单,339,339,0,100,0,0,0,0,0,0,0,0,239,239,-4.78,0,0,0,0,0,0,,-4.78,,0,,''6931096504464512602
2024/7/1 9:50,'6931072134681203928,'6931072134681203928,244.02,聚合账户,已结算,否,2024/6/19 18:34,'3690835059750862959,1,小店自卖,普通订单,349,349,0,100,0,0,0,6,0,0,0,0,243,249,-4.98,0,0,0,0,0,0,,-4.98,,0,,''6931072134681203928
2024/7/1 10:01,'6931096620477978578,'6931096620477978578,146.02,聚合账户,已结算,否,2024/6/20 17:18,'3645602464511698399,1,小店自卖,普通订单,249,249,0,100,0,0,0,0,0,0,0,0,149,149,-2.98,0,0,0,0,0,0,,-2.98,,0,,''6931096620477978578
2024/7/1 11:49,'6931311306284930901,'6931311306284930901,185.22,聚合账户,已结算,否,2024/6/25 18:23,'3690835059750862959,1,小店自卖,普通订单,289,289,0,100,0,0,0,0,0,0,0,0,189,189,-3.78,0,0,0,0,0,0,,-3.78,,0,,''6931311306284930901
2024/7/1 11:46,'6931056740821243784,'6931056740821243784,106.82,聚合账户,已结算,否,2024/6/19 18:25,'3659700741888734656,1,小店自卖,普通订单,139,139,0,30,0,0,0,0,0,0,0,0,109,109,-2.18,0,0,0,0,0,0,,-2.18,,0,,''6931056740821243784
2024/7/1 11:38,'6931379209673905375,'6931379209673905375,185.22,聚合账户,已结算,否,2024/6/26 16:18,'3690835059750862959,1,小店自卖,普通订单,289,289,0,100,0,0,0,0,0,0,0,0,189,189,-3.78,0,0,0,0,0,0,,-3.78,,0,,''6931379209673905375
